date,date,GDP,CA,CA/GDP
1998-03-31,1998年第一季度,18049.1,104.7116,0.005801485946667702
1998-06-30,1998年第二季度,20296.6,43.5928799999998,0.0021477922410649965
1998-09-30,1998年第三季度,21775.6,52.53033,0.0024123482246183802
1998-12-31,1998年第四季度,25074.2,113.8794848,0.004541699627505564
1999-03-31,1999年第一季度,19361.9,11.5330199999999,0.0005956553850603452
1999-06-30,1999年第二季度,21567.7,5.03655999999995,0.00023352327786458222
1999-09-30,1999年第三季度,23050.8,100.56828,0.004362897600083295
1999-12-31,1999年第四季度,26583.9,94.0035236658534,0.003536107330596842
2000-03-31,2000年第一季度,21329.9,36.5222705250002,0.0017122569972198745
2000-06-30,2000年第二季度,24043.4,26.5572782590001,0.0011045558556194257
2000-09-30,2000年第三季度,25712.5,66.4643619486649,0.002584904694162952
2000-12-31,2000年第四季度,29194.3,74.7722430870538,0.002561193215355525
2001-03-31,2001年第一季度,24086.4,59.9441965863044,0.0024887154820273844
2001-06-30,2001年第二季度,26726.6,-8.95826776869546,-0.0003351817204094595
2001-09-30,2001年第三季度,28333.3,50.046823075826,0.001766360539570964
2001-12-31,2001年第四季度,31716.8,73.019997922283,0.002302249846210305
2002-03-31,2002年第一季度,26295.0,86.1776054170551,0.003277338102949424
2002-06-30,2002年第二季度,29194.8,49.3776516364829,0.0016913166603807152
2002-09-30,2002年第三季度,31257.3,66.9695512568978,0.002142525146346543
2002-12-31,2002年第四季度,34970.3,151.694873824898,0.004337820202426001
2003-03-31,2003年第一季度,29825.5,26.0835366815762,0.0008745381194473252
2003-06-30,2003年第二季度,32537.3,82.2816472077889,0.0025288406600359865
2003-09-30,2003年第三季度,35291.9,85.50170419652,0.0024227005119168985
2003-12-31,2003年第四季度,39767.4,236.648940527459,0.00595082757553823
2004-03-31,2004年第一季度,34544.6,33.4673579639737,0.0009688159065085049
2004-06-30,2004年第二季度,38700.8,58.1215716424069,0.0015018183511040313
2004-09-30,2004年第三季度,41855.0,172.665076058104,0.004125315399787457
2004-12-31,2004年第四季度,46739.8,425.155601221133,0.009096222089549655
2005-03-31,2005年第一季度,40453.3,238.361897545938,0.0058922732520199335
2005-06-30,2005年第二季度,44793.1,294.221884444522,0.006568464438597061
2005-09-30,2005年第三季度,48047.8,334.94071840426,0.006970989689522933
2005-12-31,2005年第四季度,54024.8,456.260437269272,0.008445388733864299
2006-03-31,2006年第一季度,47078.9,339.572802768313,0.007212844878880199
2006-06-30,2006年第二季度,52673.3,474.040275271273,0.008999631222484124
2006-09-30,2006年第三季度,56064.7,605.354177163883,0.01079742114314146
2006-12-31,2006年第四季度,63621.6,899.463155440667,0.014137700960690506
2007-03-31,2007年第一季度,57159.3,666.244519367797,0.011655925096489932
2007-06-30,2007年第二季度,64781.6,865.505668658177,0.013360362643994237
2007-09-30,2007年第三季度,69482.1,984.786275326583,0.014173237068634697
2007-12-31,2007年第四季度,78669.3,1015.2903090206,0.01290580072557656
2008-03-31,2008年第一季度,69373.6,822.042910521757,0.01184950630386425
2008-06-30,2008年第二季度,78711.8,954.728848011532,0.012129424660743777
2008-09-30,2008年第三季度,82460.1,1098.06013102467,0.013316259997558455
2008-12-31,2008年第四季度,88699.0,1330.85327187749,0.015004151928178333
2009-03-31,2009年第一季度,73979.2,673.319144210032,0.009101465603981012
2009-06-30,2009年第二季度,83865.8,396.919240080191,0.0047327902444165675
2009-09-30,2009年第三季度,89846.9,453.501935934482,0.005047496752080284
2009-12-31,2009年第四季度,100825.8,908.825358971477,0.009013817484924266
2010-03-31,2010年第一季度,87501.3,249.954044475312,0.002856575210600437
2010-06-30,2010年第二季度,99347.4,437.641704936863,0.004405165157184416
2010-09-30,2010年第三季度,105963.7,826.317112233525,0.007798114941565131
2010-12-31,2010年第四季度,119306.8,864.191034433848,0.007243434862336832
2011-03-31,2011年第一季度,104469.9,15.0213517866923,0.00014378640916371414
2011-06-30,2011年第二季度,118895.9,437.282193574626,0.0036778576349110947
2011-09-30,2011年第三季度,126562.2,424.327796253342,0.0033527213990697225
2011-12-31,2011年第四季度,138012.1,484.336274160839,0.0035093754399856173
2012-03-31,2012年第一季度,117357.6,285.684757638622,0.002434309815799079
2012-06-30,2012年第二季度,131320.6,590.048486432109,0.004493190607049534
2012-09-30,2012年第三季度,138089.6,761.949109479975,0.005517787794880824
2012-12-31,2012年第四季度,151812.0,516.235121143706,0.0034004895604017207
2013-03-31,2013年第一季度,129449.6,409.788076585247,0.0031656187163594707
2013-06-30,2013年第二季度,143518.7,426.712168337338,0.0029732165100250906
2013-09-30,2013年第三季度,152222.7,325.873972497964,0.0021407712023105885
2013-12-31,2013年第四季度,167772.3,319.665281378226,0.0019053519644078672
2014-03-31,2014年第一季度,140759.8,54.7687625687604,0.0003890937793941197
2014-06-30,2014年第二季度,156489.6,754.835622509014,0.0048235513574641
2014-09-30,2014年第三季度,165484.7,785.048008137804,0.004743931059111833
2014-12-31,2014年第四季度,180828.9,765.813385520715,0.004235016557202499
2015-03-31,2015年第一季度,151137.9,751.7281249262,0.00497378966444684
2015-06-30,2015年第二季度,168549.7,676.000515954295,0.004010689523353023
2015-09-30,2015年第三季度,176597.7,667.657097727663,0.0037806670060123258
2015-12-31,2015年第四季度,192572.9,834.837431747311,0.004335176090443209
2016-03-31,2016年第一季度,162410.0,455.096232681467,0.002802144157881085
2016-06-30,2016年第二季度,181408.2,590.984976993741,0.003257763303939629
2016-09-30,2016年第三季度,191010.6,720.095782876583,0.003769925767871432
2016-12-31,2016年第四季度,211566.2,147.193366868152,0.000695731959396879
2017-03-31,2017年第一季度,181867.7,209.168648896069,0.0011501143352891634
2017-06-30,2017年第二季度,201950.3,538.015788728602,0.0026640999727586545
2017-09-30,2017年第三季度,212789.3,431.50168108907,0.0020278354272939008
2017-12-31,2017年第四季度,235428.7,708.075142497882,0.003007599084129853
2018-03-31,2018年第一季度,202035.7,-397.73208761134,-0.001968622810777204
2018-06-30,2018年第二季度,223962.2,-26.4213146345228,-0.0001179722052851901
2018-09-30,2018年第三季度,234474.3,175.743266216839,0.0007495203790643111
2018-12-31,2018年第四季度,258808.9,489.719227874012,0.0018922039693148574
2019-03-31,2019年第一季度,217168.3,222.978901441249,0.001026756213688872
2019-06-30,2019年第二季度,241502.6,198.126449619461,0.0008203905449442821
2019-09-30,2019年第三季度,251046.3,306.341059811869,0.0012202572187356238
2019-12-31,2019年第四季度,276798.0,301.652349211297,0.001089792372818073
2020-03-31,2020年第一季度,205244.8,-522.5150131823,-0.0025458136487857426
2020-06-30,2020年第二季度,248347.7,910.9159572342,0.003667905751630476
2020-09-30,2020年第三季度,264355.7,893.0281124509,0.0033781307248184926
2020-12-31,2020年第四季度,295618.8,1206.9273828576,0.004082715249698598
2021-03-31,2021年第一季度,249200.2,762.3645960931,0.0030592455226484566
2021-06-30,2021年第二季度,282849.2,554.8678291501,0.0019617090278144676
2021-09-30,2021年第三季度,291288.1,923.0535093835,0.0031688678987692944
2021-12-31,2021年第四季度,325899.4,1288.5716117196,0.003953893783540565
2022-03-31,2022年第一季度,270344.5,961.967924804299,0.0035583040335730853
2022-06-30,2022年第二季度,292446.7,839.7086201958,0.002871321920185114
2022-09-30,2022年第三季度,307942.1,1514.7818186574,0.004919047504895888
2022-12-31,2022年第四季度,333990.7,1117.2842075068,0.003345255444258777
2023-03-31,2023年第一季度,284423.0,767.3663166459,0.0026979756090256416
2023-06-30,2023年第二季度,308292.6,592.7999133876,0.0019228483375455655
2023-09-30,2023年第三季度,319976.3,607.7913917284,0.0018994887800390216
2023-12-31,2023年第四季度,347890.1,561.915091685499,0.0016152086296376328
